WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 51.06',W 090 26.00',400
2,N 46 05.08',W 090 14.39',400
2,N 46 05.08',W 090 14.39',100
1,N 45 51.06',W 090 26.00',100
1,N 45 51.06',W 090 26.00',400
3,N 46 04.54',W 090 13.04',400
3,N 46 04.54',W 090 13.04',100
1,N 45 51.06',W 090 26.00',100
4,N 45 50.52',W 090 24.66',400
3,N 46 04.54',W 090 13.04',400
3,N 46 04.54',W 090 13.04',100
4,N 45 50.52',W 090 24.66',100
4,N 45 50.52',W 090 24.66',400
6,N 46 04.00',W 090 11.69',400
6,N 46 04.00',W 090 11.69',100
4,N 45 50.52',W 090 24.66',100
5,N 45 49.98',W 090 23.32',400
6,N 46 04.00',W 090 11.69',400
6,N 46 04.00',W 090 11.69',100
5,N 45 49.98',W 090 23.32',100
5,N 45 49.98',W 090 23.32',400
7,N 46 03.46',W 090 10.34',400
7,N 46 03.46',W 090 10.34',100
5,N 45 49.98',W 090 23.32',100
8,N 45 49.44',W 090 21.97',400
7,N 46 03.46',W 090 10.34',400
7,N 46 03.46',W 090 10.34',100
8,N 45 49.44',W 090 21.97',100
8,N 45 49.44',W 090 21.97',400
10,N 46 02.92',W 090 09.00',400
10,N 46 02.92',W 090 09.00',100
8,N 45 49.44',W 090 21.97',100
9,N 45 48.90',W 090 20.63',400
10,N 46 02.92',W 090 09.00',400
10,N 46 02.92',W 090 09.00',100
9,N 45 48.90',W 090 20.63',100
9,N 45 48.90',W 090 20.63',400
11,N 46 02.38',W 090 07.65',400
11,N 46 02.38',W 090 07.65',100
9,N 45 48.90',W 090 20.63',100
12,N 45 48.36',W 090 19.29',400
11,N 46 02.38',W 090 07.65',400
11,N 46 02.38',W 090 07.65',100
12,N 45 48.36',W 090 19.29',100
0,N 45 37.81',W 089 29.17',0
